,Artist,Track,Album,Album_type,Danceability,Energy,Key,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_ms
7799,Philharmonia Orchestra,"Violin Concerto in D Major, Op. 61: II. Larghetto",Beethoven: Violin Concerto and Romances,album,0.21,0.04,7.00,-27.18,0.05,0.93,0.06,0.09,0.05,95.94,486000.00
7800,Philharmonia Orchestra,Nella Fantasia,Katherine Jenkins / From The Heart,album,0.17,0.22,8.00,-13.92,0.04,0.97,0.00,0.08,0.08,91.50,311333.00
7801,Philharmonia Orchestra,The Sorcerer's Apprentice,Fantasia 2000,compilation,0.35,0.21,1.00,-22.66,0.06,0.80,0.26,0.07,0.08,130.42,577440.00
7802,Philharmonia Orchestra,"Turandot, SC 91 / Act 3: Nessun dorma",Puccini: Turandot / Act 3: Nessun dorma,single,0.25,0.24,2.00,-12.08,0.03,0.98,0.01,0.09,0.07,71.43,195853.00
7803,Philharmonia Orchestra,"Puccini: Gianni Schicchi: ""O mio babbino caro""",La Divina,album,0.22,0.10,8.00,-16.75,0.04,0.97,0.07,0.15,0.09,82.08,155160.00
7804,Philharmonia Orchestra,"Symphony No. 5 in C Minor, Op.67 - I. Allegro con brio",Essential Beethoven,compilation,0.35,0.23,0.00,-15.06,0.04,0.98,0.84,0.22,0.20,85.14,395680.00
7805,Philharmonia Orchestra,"Tannhäuser, WWV 70 / Act 2: ""Dich, teure Halle, grüß ich wieder""",Wagner,compilation,0.23,0.23,4.00,-13.09,0.05,0.98,0.00,0.09,0.04,172.24,221187.00
7806,Philharmonia Orchestra,Andrea Chenier (1997 Digital Remaster): La mamma morta,Lyric and Coloratura Arias,album,0.24,0.14,2.00,-11.30,0.04,0.98,0.00,0.16,0.04,78.64,292600.00
7807,Kirk Franklin,Fall in Love at Christmas,Fall in Love at Christmas,single,0.57,0.65,7.00,-5.83,0.03,0.33,0.00,0.35,0.27,120.07,308000.00
7808,Kirk Franklin,TOGETHER,Burn The Ships (Deluxe Edition: Remixes & Collaborations),album,0.39,0.79,0.00,-4.39,0.14,0.22,0.00,0.20,0.48,178.10,206104.00
7809,Kirk Franklin,I Smile,Hello Fear,album,0.75,0.75,1.00,-2.41,0.16,0.22,0.00,0.71,0.59,144.06,307973.00
7810,Kirk Franklin,Love Theory,LONG LIVE LOVE,album,0.74,0.67,1.00,-5.46,0.25,0.18,0.00,0.09,0.74,97.10,251715.00
7811,Kirk Franklin,Fear is Not My Future (feat. Brandon Lake & Chandler Moore),Kingdom Book One,album,0.43,0.69,3.00,-7.36,0.12,0.55,0.00,0.19,0.39,137.72,625062.00
7812,Kirk Franklin,Kingdom (feat. Naomi Raine & Chandler Moore),Kingdom Book One,album,0.39,0.78,5.00,-6.24,0.16,0.21,0.00,0.28,0.46,84.04,565834.00
